,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
10,,,"Genetic Identification of Methicillin-Resistant Staphylococcus aureus Nasal Carriage and Its Antibiogram among Kidney Dialysis Patients at a Tertiary Care Hospital in AL-Karak, Jordan",Int J Microbiol. 2023 Mar 15;2023:9217014. doi: 10.1155/2023/9217014. eCollection 2023.,36970126,10.1155/2023/9217014,,,Abstract,Rejected,No safety information_In vitro study,,,No Error,,,,Jordan,,,,,,,,,
11,,,Indirect treatment of plasma-processed air to decrease decay and microbiota of strawberry fruit caused by mechanical damage,Food Chem. 2023 May 15;408:135225. doi: 10.1016/j.foodchem.2022.135225. Epub 2022 Dec 16.,36549159,10.1016/j.foodchem.2022.135225,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
12,,,Copper exposure leads to changes in chlorophyll content and secondary metabolite profile in Lantana fucata leaves,Funct Plant Biol. 2023 May 16. doi: 10.1071/FP23047. Online ahead of print.,37187188,10.1071/FP23047,,,Abstract,Rejected,No safety information,,,No error,,,,Australia,,,,,,,,,
13,,,Spatio-temporal control of targeted gene expression in combination with CRISPR/Cas and Tet-On systems in Medaka,Genesis. 2023 May 25:e23519. doi: 10.1002/dvg.23519. Online ahead of print.,37226848,10.1002/dvg.23519,,,Abstract ,Rejected,"No safety information_Animal,In vivo study",,,No error ,,,,Japan,,,,,,,,,
14,,,In vitro and in vivo acute toxicity of an artificial butter flavoring,J Toxicol Environ Health A. 2023 Mar 19;86(6):181-197. doi: 10.1080/15287394.2023.2172502. Epub 2023 Feb 15.,36794368,10.1080/15287394.2023.2172502,,,Abstract,Rejected,No safety information_In Vitro and In vivo study,,,No Error,,,,Brazil,,,,,,,,,
15,,,The analysis of ramipril/ramiprilat concentration in human serum with liquid chromatography-tandem mass spectrometry - interpretation of high concentrations for the purposes of forensic toxicology,Forensic Sci Med Pathol. 2023 Apr 15. doi: 10.1007/s12024-023-00621-6. Online ahead of print.,37060536,10.1007/s12024-023-00621-6,,,Full Text,Invalid,No MA in COI_Ramipril_Drug intoxication(Case 10),,,No error,,,,Germany,,Ramipril,Drug intoxication,,,,,,
16,,,[Factors Influencing and Adverse Reactions of Voriconazole Clearance in Patients with Hematological Diseases],Zhongguo Shi Yan Xue Ye Xue Za Zhi. 2023 Apr;31(2):562-567. doi: 10.19746/j.cnki.issn.1009-2137.2023.02.036.,37096534,10.19746/j.cnki.issn.1009-2137.2023.02.036,,,Abstract ,Invalid,No MA in COI_Voriconazole_Visual impairment,,,No Error,,,,China,,Voriconazole,Visual impairment,,,,,,
17,,,Green and Low-temperature Synthesis of Carbon Dots for Simple Detection of Kaempferol,J Fluoresc. 2023 Mar 18. doi: 10.1007/s10895-023-03204-4. Online ahead of print.,36933122,10.1007/s10895-023-03204-4,,,Abstract,Rejected,In-vitro study_No safety information,,,No Error,,,,China,,,,,,,,,
18,,,A Case of Dulaglutide-Induced Vaginal Bleed,Cureus. 2023 May 9;15(5):e38774. doi: 10.7759/cureus.38774. eCollection 2023 May.,37303364,10.7759/cureus.38774,,,Full Text,Invalid,"No MA in COI_Metformin_Nausea,diarrhea",,,No error,,,,United states,,Metformin,"Nausea,diarrhea",,,,,,
19,,,"Effect of acetazolamide on pulmonary vascular haemodynamics in patients with COPD going to altitude: a randomised, placebo-controlled, double-blind trial",ERJ Open Res. 2023 Apr 11;9(2):00412-2022. doi: 10.1183/23120541.00412-2022. eCollection 2023 Mar.,37057079,10.1183/23120541.00412-2022,,,Full Text,Invalid,Safety from secondary source_Acetazolamide_Metabolic acidosis,,,Article classification updated from Rejected to Invalid; Invalid drugs updated from NA to Acetazolamide; Suspected events updated from NA to Metabolic acidosis; Comment updated from No safety information to Safety from secondary source_Acetazolamide_Metabolic acidosis,,,,Switzerland,,Acetazolamide,Metabolic acidosis,,,,,,
20,,,"Metformin Improves Functional Outcomes, Activates Neural Precursor Cells, and Modulates Microglia in a Sex-Dependent Manner After Spinal Cord Injury",Stem Cells Transl Med. 2023 May 20:szad030. doi: 10.1093/stcltm/szad030. Online ahead of print.,37209417,10.1093/stcltm/szad030,,,Abstract,Rejected,Animal study_No safety information,,,No Error,,,,Canada,,,,,,,,,
21,,,Isolated Uvulitis in a Patient After Smoking Fentanyl,Cureus. 2023 Apr 25;15(4):e38109. doi: 10.7759/cureus.38109. eCollection 2023 Apr.,37252458,10.7759/cureus.38109,,,Full Text,Invalid,No MA in COI_fentanyl_isolated uvulitis-incorrect route of administration(smoking fentanyl),,,No Error,,,,United states,,fentanyl,isolated uvulitis,,,,,,
22,,,Impact of Maternal Folic Acid Supplementation on Descendants' Kidney in Adulthood,Rev Bras Ginecol Obstet. 2023 Apr;45(4):207-214. doi: 10.1055/s-0043-1769001. Epub 2023 May 24.,37224843,10.1055/s-0043-1769001,,,Abstract,Invalid,Animal study_DEDP_folic acid,,,No Error,,,,Brazil,,Folic acid,DEDP,,,,,,
23,,,A Case of Symptomatic Supratherapeutic International Normalized Ratio on Rivaroxaban,Cureus. 2023 Jun 12;15(6):e40282. doi: 10.7759/cureus.40282. eCollection 2023 Jun.,37313284,10.7759/cureus.40282,,,Full Text,Invalid,No MA in COI_Rivaroxaban_Gastrointestinal bleeding and drop in hemoglobin,,,No error,,,,United States,,Rivaroxaban,Gastrointestinal bleeding and drop in hemoglobin,,,,,,
24,,,Development and verification of a physiologically based pharmacokinetic model of dronedarone and its active metabolite N-desbutyldronedarone: Application to prospective simulation of complex drug-drug interaction with rivaroxaban,Br J Clin Pharmacol. 2023 Jun;89(6):1873-1890. doi: 10.1111/bcp.15670. Epub 2023 Feb 7.,36683488,10.1111/bcp.15670,,,Abstract,Invalid,No MA in COI_Rivaroxaban_Drug-Drug Interaction,,,No error,,,,Singapore,,Rivaroxaban,Drug-Drug Interaction,,,,,,
25,,,"Aripiprazole, brexpiprazole, and cariprazine can affect milk supply: Advice to breastfeeding mothers",Australas Psychiatry. 2023 Apr;31(2):201-204. doi: 10.1177/10398562231159510. Epub 2023 Feb 24.,36825499,10.1177/10398562231159510,,,Abstract,Invalid,No MA in COI_Aripiprazole_Exposure during breast feeding,,,"Article updated from full text to abstract, No. of cases to be created updated from blank to NA.",,,,Australia,,Aripiprazole,Exposure during breast feeding,,,,,,
26,,,Micellar-enhanced and green-assessed first-derivative synchronous spectrofluorimetric approach for concurrent determination of alfuzosin hydrochloride and solifenacin succinate in different matrices: Docking simulation,Spectrochim Acta A Mol Biomol Spectrosc. 2023 May 15;293:122442. doi: 10.1016/j.saa.2023.122442. Epub 2023 Feb 4.,36758367,10.1016/j.saa.2023.122442,,,Abstract,Rejected,No safety information_In vitro study,,,No Error,,,,Egypt,,,,,,,,,
27,,,Bag-1 Protects Nucleus Pulposus Cells from Oxidative Stress by Interacting with HSP70,Biomedicines. 2023 Mar 12;11(3):863. doi: 10.3390/biomedicines11030863.,36979842,10.3390/biomedicines11030863,,,Abstract,Rejected,No safety information_invitro study,,,No Error,,,,Japan,,,,,,,,,
28,,,Ferric chloride induces ferroptosis in Pseudomonas aeruginosa and heals wound infection in a mouse model,Int J Antimicrob Agents. 2023 May;61(5):106794. doi: 10.1016/j.ijantimicag.2023.106794. Epub 2023 Mar 16.,36933871,10.1016/j.ijantimicag.2023.106794,,,Abstract,Rejected,No safety information_In vitro study/animal study,,,No Error,,,,China,,,,,,,,,
29,,,"Recognition, possible source, and risk assessment of organic pollutants in surface water from the Yongding River Basin by non-target and target screening",Environ Pollut. 2023 May 24:121895. doi: 10.1016/j.envpol.2023.121895. Online ahead of print.,37236593,10.1016/j.envpol.2023.121895,,,Abstract,Rejected,No safety information_Environmental study,,,No error,,,,China,,,,,,,,,
30,,,Carbamazepine cutaneous adverse reactions and HLA gene variation in the Chinese population: a systematic review and meta-analysis,Pharmacogenomics. 2023 Jul 28. doi: 10.2217/pgs-2023-0054. Online ahead of print.,37503628,10.2217/pgs-2023-0054,,,Abstract,Invalid,Systematic review and meta-analysis_Carbamazepine_Stevens-Johnson syndrome/toxic epidermal necrolysis,,,No error,,,,China,,Carbamazepine,Stevens-Johnson syndrome/toxic epidermal necrolysis,,,,,,
31,,,Expression of ?A-crystallin (CRYAA) in vivo and in vitro models of age-related cataract and the effect of its silencing on HLEB3 cells,Aging (Albany NY). 2023 May 28;15. doi: 10.18632/aging.204754. Online ahead of print.,37253645,10.18632/aging.204754,,,Abstract,Rejected,Animal study/In-vitro/In-vivo_No safety information,,,No error,,,,China,,,,,,,,,
32,,,Therapeutic gene correction for Lesch-Nyhan syndrome using CRISPR-mediated base and prime editing,Mol Ther Nucleic Acids. 2023 Feb 14;31:586-595. doi: 10.1016/j.omtn.2023.02.009. eCollection 2023 Mar 14.,36910714,10.1016/j.omtn.2023.02.009,,,Abstract,Rejected,No safety information,,,No Error,,,,South Korea,,,,,,,,,
33,,,Budesonide as first-line treatment in patients with autoimmune hepatitis seems inferior to standard predniso(lo)ne administration,Hepatology. 2023 Apr 1;77(4):1095-1105. doi: 10.1097/HEP.0000000000000018. Epub 2023 Jan 3.,36626622,10.1097/HEP.0000000000000018,,,Abstract,Invalid,No MA in COI_Prednisolone_Adverse events NOS,,,No error,,,,Spain,,Prednisolone,Adverse events NOS,,,,,,
34,,,Convenient colorimetric-fluorescent dual-mode recognition of I(-) in agricultural products and visual determination of Hg(2+) in drinking beverages using Ag-Pt bimetal quantum dot nanozyme,Food Chem. 2023 May 15;408:135259. doi: 10.1016/j.foodchem.2022.135259. Epub 2022 Dec 21.,36566540,10.1016/j.foodchem.2022.135259,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
35,,,Risk factors for early onset acute kidney injury after allogeneic haematopoietic stem cell transplantation and the role of drug-drug interactions,Eur J Hosp Pharm. 2023 Apr 6:ejhpharm-2023-003703. doi: 10.1136/ejhpharm-2023-003703. Online ahead of print.,37024289,10.1136/ejhpharm-2023-003703,,,Abstract,Invalid,No MA in COI_Posaconazole and voriconazole_Drug -Drug interaction,,,No error,,,,Turkey,,"Posaconazole, Voriconazole",Drug-Drug interaction,,,,,,
36,,,Development of cardiometabolic risk factors following endocrine therapy in women with breast cancer,Breast Cancer Res Treat. 2023 Jun 16. doi: 10.1007/s10549-023-06997-x. Online ahead of print.,37326764,10.1007/s10549-023-06997-x,,,Abstract,Invalid,No MA in COI_Tamoxifen_Increased rate of developing hypertension,,,No error,,,,United states,,Tamoxifen,Increased rate of developing hypertension,,,,,,
37,,,Comparison of landiolol and amiodarone for the treatment of new-onset atrial fibrillation after cardiac surgery (FAAC) trial: study protocol for a randomized controlled trial,Trials. 2023 May 25;24(1):353. doi: 10.1186/s13063-023-07353-6.,37226174,10.1186/s13063-023-07353-6,,,Full Text,Invalid,No MA in COI_Amiodarone_Adverse events NOS,,,No error ,,,,France,,Amiodarone,Adverse events NOS,,,,,,
38,,,Safety and Efficacy of Rapid Methadone Titration for Opioid Use Disorder in an Inpatient Setting: A Retrospective Cohort Study,J Addict Med. 2023 Aug 7. doi: 10.1097/ADM.0000000000001207. Online ahead of print.,37549009,10.1097/ADM.0000000000001207,,,Abstract,Invalid,No MA in COI_methadone_Adverse events NOS,,,No error,,,,Canada,,methadone,Adverse events NOS,,,,,,
39,,,"Essential Oil of Zingiber cassumunar Roxb. and Zingiber officinale Rosc.: A Comparative Study on Chemical Constituents, Antibacterial Activity, Biofilm Formation, and Inhibition of Pseudomonas aeruginosa Quorum Sensing System",Chem Biodivers. 2023 May 18:e202201205. doi: 10.1002/cbdv.202201205. Online ahead of print.,37202876,10.1002/cbdv.202201205,,,Abstract,Rejected,In-vitro_No safety information,,,No Error,,,,Indonesia,,,,,,,,,
40,,,Systemic allergic dermatitis from doxepin: A case report,Contact Dermatitis. 2023 May 26. doi: 10.1111/cod.14354. Online ahead of print.,37237446,10.1111/cod.14354,,,Abstract,Invalid,No MA in COI_Doxepin_Systemic allergic dermatitis,,,No error,,,,Spain,,Doxepine,Systemic allergic dermatitis,,,,,,
41,,,Outcomes among patients with peripheral artery disease in the Aspirin Dosing: A Patient-Centric Trial Assessing Benefits and Long-Term Effectiveness (ADAPTABLE) study,Vasc Med. 2023 Apr;28(2):122-130. doi: 10.1177/1358863X231154951.,37025023,10.1177/1358863X231154951,,,Abstract,Invalid,No MA in COI_Asprin_PAD did not benefit from high dose of asprin (LOE),,,No error,,,,United states,,Asprin,PAD did not benefit from high dose of asprin (LOE),,,,,,
42,,,Virgin Olive Oil By-Product Valorization: An Insight into the Phenolic Composition of Olive Seed Extracts from Three Cultivars as Sources of Bioactive Molecules,Molecules. 2023 Mar 19;28(6):2776. doi: 10.3390/molecules28062776.,36985747,10.3390/molecules28062776,,,Abstract,Rejected,No safety information_Invitro study/plant study,,,No error,,,,Italy,,,,,,,,,
43,,,Recurrent Nonbacterial Thrombotic Endocarditis and Primary Antiphospholipid Antibody Syndrome,Cureus. 2023 Mar 17;15(3):e36275. doi: 10.7759/cureus.36275. eCollection 2023 Mar.,37073185,10.7759/cureus.36275,,,full text,Valid,Valid case_1 ICSR for Erratic INR with warfarin for 37-year-old man;,,,Valid drugs has been updated from NA to Warfarin; Suspected event has been updated from NA to  erratic INR; Article priority has been updated from NA to Non Serious; No of cases to be created has been updated from NA to 1 ICSR; Allocation sent has been updated from NA to Yes,,,Non serious,United Kingdom,Warfarin,,Erratic INR,1,,,,,
44,,,"""I don't want to die"": a qualitative study of coping strategies to prevent fentanyl-related overdose deaths among people who inject drugs and its implications for harm reduction policies",Harm Reduct J. 2023 Jun 14;20(1):75. doi: 10.1186/s12954-023-00805-x.,37316884,10.1186/s12954-023-00805-x,,,Full Text,Invalid,No MA in COI_Fentanyl_overdose,,,No Error,,,,United States,,Fentanyl�,Overdose,,,,,,
45,,,Ni-Co bimetallic decorated dodecahedral ZIF as an efficient catalyst for photoelectrochemical degradation of sulfamethoxazole coupled with hydrogen production,Sci Total Environ. 2023 May 15;873:162208. doi: 10.1016/j.scitotenv.2023.162208. Epub 2023 Feb 19.,36801406,10.1016/j.scitotenv.2023.162208,,,Full text,Rejected,No safety information,,,No error,,,,Taiwan,,,,,,,,,
46,,,Functional Characterization of Lactobacillus plantarum Isolated from Cow Milk and the Development of Fermented Coconut and Carrot Juice Mixed Beverage,Curr Microbiol. 2023 Mar 15;80(5):139. doi: 10.1007/s00284-023-03258-4.,36920622,10.1007/s00284-023-03258-4,,,Abstract ,Rejected,Invitro study_no safety information,,,No Error,,,,India,,,,,,,,,
47,,,Effects of dapagliflozin compared with glimepiride on body composition in Asian patients with type 2 diabetes inadequately controlled with metformin: The BEYOND study,Diabetes Obes Metab. 2023 Jun 20. doi: 10.1111/dom.15164. Online ahead of print.,37337747,10.1111/dom.15164,,,Full text,Invalid,"No patinet-product-event correlation_hypoglycaemia, nasopharyngitis, toothache, cystitis, gastroesophageal reflux disease, chronic gastritis, genitourinary infection",,,No error ,,,,South Korea,,Meftformin,"hypoglycaemia, nasopharyngitis, toothache, cystitis, gastroesophageal reflux disease, chronic gastritis, genitourinary infection",,,,,,
48,,,Value-Added Squalene in Single-Cell Oil Produced with Cutaneotrichosporon oleaginosus for Food Applications,J Agric Food Chem. 2023 May 25. doi: 10.1021/acs.jafc.3c01703. Online ahead of print.,37227257,10.1021/acs.jafc.3c01703,,,Abstract,Rejected,No safety information,,,No error,,,,Germany,,,,,,,,,
49,,,A Comparative Study to Investigate the Effects of Bisoprolol in Patients with Chronic Heart Failure and Hypertension When Switched from Tablets to Transdermal Patches,J Pers Med. 2023 May 1;13(5):785. doi: 10.3390/jpm13050785.,37240955,10.3390/jpm13050785,,,Full Text,Invalid,"No MA in COI_Bisoprolol_skin rash,Bradycardia,hypotension,renal dysfuction,hepatic dysfunction,allergic reactions and skin reactions",,,No error,,,,Japan,,Bisoprolol,"skin rash,Bradycardia,hypotension,renal dysfuction,hepatic dysfunction,allergic reactions and skin reactions",,,,,,
50,,,Pharmacological options for Candida albicans Endocarditis at the roadblock with irrecoverable prosthetics and drug interactions: a case report and review of literature,BMC Infect Dis. 2023 May 8;23(1):304. doi: 10.1186/s12879-023-08267-z.,37158828,10.1186/s12879-023-08267-z,,,Full text,Invalid,"Safety from secondary source_Fluconazole_ increased incidence of major bleeding:Fluconazole,rivaroxaban_Drug interactions",,,No error,,,,United states,,"Fluconazole,rivaroxaban","Increased incidence of major bleeding,Drug interactions",,,,,,
51,,,Long-Acting Injectable Second-Generation Antipsychotics vs Placebo and Their Oral Formulations in Acute Schizophrenia: A Systematic Review and Meta-Analysis of Randomized-Controlled-Trials,Schizophr Bull. 2023 Jun 23:sbad089. doi: 10.1093/schbul/sbad089. Online ahead of print.,37350486,10.1093/schbul/sbad089,,,Abstract,Invalid,"No MA in COI_Aripiprazole, Olanzapine_Adverse events NOS",,,No Error,,,,Germany,,"Aripiprazole, Olanzapine",Adverse events NOS,,,,,,
52,,,Estimation of Off-Target Dicamba Damage on Soybean Using UAV Imagery and Deep Learning,Sensors (Basel). 2023 Mar 19;23(6):3241. doi: 10.3390/s23063241.,36991952,10.3390/s23063241,,,Abstract,Rejected,No safety information_Plant study,,,No error,,,,United states,,,,,,,,,
53,,,Fluorescent aptasensor for the ultrasensitive detection of antibiotic residue in food samples based on dumbbell DNA-mediated signal amplification,Biosens Bioelectron. 2023 May 15;228:115188. doi: 10.1016/j.bios.2023.115188. Epub 2023 Mar 2.,36871423,10.1016/j.bios.2023.115188,,,Abstract,Rejected,No safety information_Invitro study ,,,No Error,,,,China,,,,,,,,,
54,,,"Assessment of the Prevalence and Level of Awareness of Medication Overuse Headache Among the General Population in Makkah City, Saudi Arabia",Cureus. 2023 Apr 22;15(4):e37985. doi: 10.7759/cureus.37985. eCollection 2023 Apr.,37223197,10.7759/cureus.37985,,,Full Text,Invalid,"No patient-product-event correlation_Diarrhea, increased sweating (refer table 7)",,,No error,,,,Saudi Arabia,,"Paracetamol, Sumatriptan, aspirin, ibuprofen, diclofenac","Diarrhea, increased sweating (refer table 7)",,,,,,
55,,,"Megalochelin, a Tridecapeptide Siderophore from a Talented Streptomycete",ACS Chem Biol. 2023 Apr 21;18(4):861-874. doi: 10.1021/acschembio.2c00958. Epub 2023 Mar 15.,36920304,10.1021/acschembio.2c00958,,,Abstract,Rejected,In-vitro_No safety information,,,No error,,,,Italy,,,,,,,,,
56,,,"Neratinib + fulvestrant + trastuzumab for HR-positive, HER2-negative, HER2-mutant metastatic breast cancer: outcomes and biomarker analysis from the SUMMIT trial",Ann Oncol. 2023 Aug 17:S0923-7534(23)00800-1. doi: 10.1016/j.annonc.2023.08.003. Online ahead of print.,37597578,10.1016/j.annonc.2023.08.003,,,Full text,Invalid,"No MA in COI_Loperamide_Fatigue, Abdominal pain",,,"Article classification was updated from rejected to invalid, IR comment was updated from No safety information to No MA in COI_Loperamide_Fatigue, Abdominal pain, Invalid drug and suspected events were updated",,,,United states,,Loperamide,"Fatigue, Abdominal pain",,,,,,
57,,,"Predictors of opioid overdose during the COVID-19 pandemic: The role of relapse, treatment access and nonprescribed buprenorphine/naloxone",J Subst Use Addict Treat. 2023 Jun;149:209028. doi: 10.1016/j.josat.2023.209028. Epub 2023 Mar 31.,37003539,10.1016/j.josat.2023.209028,,,Full text,Invalid,"No MA in COI_Fentanyl, Methadone_Overdose",,,No error,,,,United States,,"Fentanyl, Methadone",Overdose,,,,,,
58,,,"Comparison of the perfusion index as an index of noxious stimulation in monitored anesthesia care of propofol/remifentanil and propofol/dexmedetomidine: a prospective, randomized, case-control, observational study",BMC Anesthesiol. 2023 May 26;23(1):183. doi: 10.1186/s12871-023-02116-x.,37237353,10.1186/s12871-023-02116-x,,,Full text,Rejected,No safety information,,,No error,,,,South Korea,,,,,,,,,
59,,,Bifid cardiac apex and spongiform cardiomyopathy in fetus with small microdeletion 16p12.2 of paternal origin. Critical points in family communication on 16p12.2 microdeletion,Clin Case Rep. 2023 Jul 2;11(7):e7602. doi: 10.1002/ccr3.7602. eCollection 2023 Jul.,37405046,10.1002/ccr3.7602,,,Full Text,Invalid,No MA in COI_Doxycycline _DEDP,,,No error,,,,Italy,,Doxycycline ,DEDP,,,,,,
60,,,Clinical outcomes of recommended active pharmacotherapy agents from NICE guideline for post-traumatic stress disorder: Network meta-analysis,Prog Neuropsychopharmacol Biol Psychiatry. 2023 Jul 13;125:110754. doi: 10.1016/j.pnpbp.2023.110754. Epub 2023 Mar 17.,36934999,10.1016/j.pnpbp.2023.110754,,,Full text,Rejected,No safety information_Meta analysis,,,No error ,,,,China,,,,,,,,,
61,,,Real-world Evidence for Impact of Opioid Agonist Therapy on Nonfatal Overdose in Patients with Opioid Use Disorder during the COVID-19 Pandemic,J Addict Med. 2023 Aug 11. doi: 10.1097/ADM.0000000000001213. Online ahead of print.,37566467,10.1097/ADM.0000000000001213,,,Full Text,Invalid,No MA in COI_methadone_overdose,,,No error,,,,Canada,,methadone,overdose,,,,,,
62,,,Medical and surgical treatment of epilepsy in older adults: A national survey,Epilepsia. 2023 Apr;64(4):900-909. doi: 10.1111/epi.17516. Epub 2023 Feb 1.,36681893,10.1111/epi.17516,,,Full Text,Invalid,"No patient-product-event correlation_intolerableSide effects NOS_Levetiracetam, Lacosamide",,,No Error,,,,Canada,,"Levetiracetam,Lacosamide",Intolerable side effects (NOS),,,,,,
63,,,Fabrication and application of amphiphilic polyoxometalate catalyst (CTA)(n)H(5-n)PMo(10)V(2)O(40) for transformation of lignin into aromatic chemicals,Int J Biol Macromol. 2023 May 18:124970. doi: 10.1016/j.ijbiomac.2023.124970. Online ahead of print.,37210062,10.1016/j.ijbiomac.2023.124970,,,Abstract,Rejected,No safety information,,,No error,,,,China,,,,,,,,,
64,,,Efficient Conversion of Lignin to Aromatics via Catalytic Fast Pyrolysis over Niobium-Doped HZSM-5,Molecules. 2023 May 22;28(10):4245. doi: 10.3390/molecules28104245.,37241985,10.3390/molecules28104245,,,Abstract,Rejected,No safety information_Invitro study,,,No error,,,,China,,,,,,,,,
65,,,A therapeutic probe for detecting and inhibiting ONOO(-) in senescent cells,J Mater Chem B. 2023 Mar 15;11(11):2389-2396. doi: 10.1039/d2tb02568j.,36853656,10.1039/d2tb02568j,,,Abstract,Rejected,invivo/invitro study_No safety information,,,No Error,,,,China,,,,,,,,,
66,,,Endoplasmic reticulum stress in the intestinal epithelium initiates purine metabolite synthesis and promotes Th17 cell differentiation in the gut,Immunity. 2023 May 9;56(5):1115-1131.e9. doi: 10.1016/j.immuni.2023.02.018. Epub 2023 Mar 13.,36917985,10.1016/j.immuni.2023.02.018,,,Abstract,Rejected,No safety information_Animal study,,,No Error,,,,United States,,,,,,,,,
67,,,Effect of ticagrelor on the function of tunneled cuffed catheter in maintenance hemodialysis patients,Ther Apher Dial. 2023 Aug;27(4):694-700. doi: 10.1111/1744-9987.13980. Epub 2023 Mar 19.,36889934,10.1111/1744-9987.13980,,,Abstract,Invalid,No MA in COI_Aspirin_Adverse events NOS,,,No Error,,,,China,,Aspirin,Adverse events NOS,,,,,,
68,,,Imaging in Van Wyk Grumbach syndrome: An uncommon presentation of hypothyroidism,SA J Radiol. 2023 Mar 15;27(1):2572. doi: 10.4102/sajr.v27i1.2572. eCollection 2023.,37065974,10.4102/sajr.v27i1.2572,,,Full Text,Rejected,No safety Information,,,No Error,,,,India,,,,,,,,,
